what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1250772228762
arch,sysinfo,,,"x86",1250772228762
ws,sysinfo,,,"win32",1250772228762
locale,sysinfo,,,"en_US",1250772228762
processors,sysinfo,,,"2",1250772228762
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250772228762
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1250772228762
java.specification.name,sysinfo,,,"Java Platform API Specification",1250772228762
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250772228762
java.specification.version,sysinfo,,,"1.6",1250772228762
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250772228762
java.version,sysinfo,,,"1.6.0_14",1250772228762
java.vm.info,sysinfo,,,"mixed mode, sharing",1250772228762
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250772228762
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250772228762
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250772228762
java.vm.specification.version,sysinfo,,,"1.0",1250772228762
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250772228762
java.vm.version,sysinfo,,,"14.0-b16",1250772228762
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1250772228777
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1250772228824
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1250772228887
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250772228918
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250772229168
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1250772229199
